site_id,x,y,month,temperature,rainfall,pet,clay,carbon_input,soil_cover
site_0000,768941.6094531971,1457717.967011131,Jan,21.800000000000004,0.0,2.8938377,0.971486445,0.4,bare
site_0000,768941.6094531971,1457717.967011131,Feb,24.5,0.0,-2.8455732,0.971486445,0.4,bare
site_0000,768941.6094531971,1457717.967011131,Mar,27.200000000000003,1.0137513,2.4113657,0.971486445,0.4,bare
site_0000,768941.6094531971,1457717.967011131,Apr,27.749999999999996,-0.36627823,-0.9827391,0.971486445,0.4,bare
site_0000,768941.6094531971,1457717.967011131,May,26.1,0.51799047,1.5587724,0.971486445,0.4,bare
site_0000,768941.6094531971,1457717.967011131,Jun,24.750000000000007,-0.31620568,1.6072845,0.971486445,0.4,bare
site_0000,768941.6094531971,1457717.967011131,Jul,23.550000000000004,0.27699572,1.9325757,0.971486445,0.4,bare
site_0000,768941.6094531971,1457717.967011131,Aug,23.800000000000004,1.4640414,1.9622583,0.971486445,0.4,bare
site_0000,768941.6094531971,1457717.967011131,Sep,23.950000000000003,-1.9103754,1.0490211,0.971486445,0.4,bare
site_0000,768941.6094531971,1457717.967011131,Oct,23.950000000000003,2.6571128,-1.6183012,0.971486445,0.4,bare
site_0000,768941.6094531971,1457717.967011131,Nov,22.550000000000004,-1.9174211,-1.3449128,0.971486445,0.4,bare
site_0000,768941.6094531971,1457717.967011131,Dec,20.65000000000001,-1.3367776,-0.13680287,0.971486445,0.4,bare
site_0001,769191.7557263334,1457717.967011131,Jan,21.800000000000004,0.0,2.8938377,0.92994721,0.4,bare
site_0001,769191.7557263334,1457717.967011131,Feb,24.5,0.0,-2.8455732,0.92994721,0.4,bare
site_0001,769191.7557263334,1457717.967011131,Mar,27.200000000000003,1.0137513,2.4113657,0.92994721,0.4,bare
site_0001,769191.7557263334,1457717.967011131,Apr,27.749999999999996,-0.595005,-0.9827391,0.92994721,0.4,bare
site_0001,769191.7557263334,1457717.967011131,May,26.1,0.7055182,1.5587724,0.92994721,0.4,bare
site_0001,769191.7557263334,1457717.967011131,Jun,24.750000000000007,-0.5517141,1.6072845,0.92994721,0.4,bare
site_0001,769191.7557263334,1457717.967011131,Jul,23.550000000000004,-0.21812733,1.9325757,0.92994721,0.4,bare
site_0001,769191.7557263334,1457717.967011131,Aug,23.800000000000004,1.4640414,1.9622583,0.92994721,0.4,bare
site_0001,769191.7557263334,1457717.967011131,Sep,23.950000000000003,-1.724663,1.0490211,0.92994721,0.4,bare
site_0001,769191.7557263334,1457717.967011131,Oct,23.950000000000003,1.8832552,-1.6183012,0.92994721,0.4,bare
site_0001,769191.7557263334,1457717.967011131,Nov,22.550000000000004,-1.5649897,-1.3449128,0.92994721,0.4,bare
site_0001,769191.7557263334,1457717.967011131,Dec,20.65000000000001,-1.3367776,-0.13680287,0.92994721,0.4,bare
site_0002,769441.9019994696,1457717.967011131,Jan,21.800000000000004,0.0,2.8938377,-1.09401055,0.4,bare
site_0002,769441.9019994696,1457717.967011131,Feb,24.5,0.0,-2.8455732,-1.09401055,0.4,bare
site_0002,769441.9019994696,1457717.967011131,Mar,27.200000000000003,1.0137513,1.9918731,-1.09401055,0.4,bare
site_0002,769441.9019994696,1457717.967011131,Apr,27.749999999999996,-0.82373166,-0.9827391,-1.09401055,0.4,bare
site_0002,769441.9019994696,1457717.967011131,May,26.1,0.7055182,1.5587724,-1.09401055,0.4,bare
site_0002,769441.9019994696,1457717.967011131,Jun,24.750000000000007,-0.7872225,1.6072845,-1.09401055,0.4,bare
site_0002,769441.9019994696,1457717.967011131,Jul,23.550000000000004,-0.21812733,1.2072178,-1.09401055,0.4,bare
site_0002,769441.9019994696,1457717.967011131,Aug,23.800000000000004,1.1453892,1.9622583,-1.09401055,0.4,bare
site_0002,769441.9019994696,1457717.967011131,Sep,23.950000000000003,-1.724663,1.0490211,-1.09401055,0.4,bare
site_0002,769441.9019994696,1457717.967011131,Oct,23.950000000000003,1.8832552,-1.6183012,-1.09401055,0.4,bare
site_0002,769441.9019994696,1457717.967011131,Nov,22.550000000000004,-1.5649897,-1.3449128,-1.09401055,0.4,bare
site_0002,769441.9019994696,1457717.967011131,Dec,20.65000000000001,-1.3367776,-0.13680287,-1.09401055,0.4,bare
site_0003,769692.0482726059,1457717.967011131,Jan,21.800000000000004,0.0,0.13504352,-1.1603542166666665,0.4,bare
site_0003,769692.0482726059,1457717.967011131,Feb,24.5,0.0,-0.15066734,-1.1603542166666665,0.4,bare
site_0003,769692.0482726059,1457717.967011131,Mar,27.200000000000003,1.0137513,1.9918731,-1.1603542166666665,0.4,bare
site_0003,769692.0482726059,1457717.967011131,Apr,27.749999999999996,-1.0524584,-0.9827391,-1.1603542166666665,0.4,bare
site_0003,769692.0482726059,1457717.967011131,May,26.1,0.89304596,1.5587724,-1.1603542166666665,0.4,bare
site_0003,769692.0482726059,1457717.967011131,Jun,24.750000000000007,-0.7872225,1.6072845,-1.1603542166666665,0.4,bare
site_0003,769692.0482726059,1457717.967011131,Jul,23.550000000000004,-0.71325034,1.2072178,-1.1603542166666665,0.4,bare
site_0003,769692.0482726059,1457717.967011131,Aug,23.800000000000004,0.82673717,1.1489199,-1.1603542166666665,0.4,bare
site_0003,769692.0482726059,1457717.967011131,Sep,23.950000000000003,-1.724663,1.0490211,-1.1603542166666665,0.4,bare
site_0003,769692.0482726059,1457717.967011131,Oct,23.950000000000003,1.8832552,-1.6183012,-1.1603542166666665,0.4,bare
site_0003,769692.0482726059,1457717.967011131,Nov,22.550000000000004,-1.2125584,-1.3449128,-1.1603542166666665,0.4,bare
site_0003,769692.0482726059,1457717.967011131,Dec,20.65000000000001,-1.3367776,-0.13680287,-1.1603542166666665,0.4,bare
site_0004,769942.1945457421,1457717.967011131,Jan,21.800000000000004,0.0,0.13504352,-1.1603542166666665,0.4,bare
site_0004,769942.1945457421,1457717.967011131,Feb,24.5,0.0,-0.15066734,-1.1603542166666665,0.4,bare
site_0004,769942.1945457421,1457717.967011131,Mar,27.200000000000003,-0.798329,1.5723805,-1.1603542166666665,0.4,bare
site_0004,769942.1945457421,1457717.967011131,Apr,27.749999999999996,-1.2811852,0.0068858177,-1.1603542166666665,0.4,bare
site_0004,769942.1945457421,1457717.967011131,May,26.1,1.0805737,1.5587724,-1.1603542166666665,0.4,bare
site_0004,769942.1945457421,1457717.967011131,Jun,24.750000000000007,-1.022731,1.6072845,-1.1603542166666665,0.4,bare
site_0004,769942.1945457421,1457717.967011131,Jul,23.550000000000004,-0.71325034,1.2072178,-1.1603542166666665,0.4,bare
site_0004,769942.1945457421,1457717.967011131,Aug,23.800000000000004,0.82673717,1.1489199,-1.1603542166666665,0.4,bare
site_0004,769942.1945457421,1457717.967011131,Sep,23.950000000000003,-1.5389507,0.17176704,-1.1603542166666665,0.4,bare
site_0004,769942.1945457421,1457717.967011131,Oct,23.950000000000003,1.1093975,-1.6183012,-1.1603542166666665,0.4,bare
site_0004,769942.1945457421,1457717.967011131,Nov,22.550000000000004,-0.860127,-1.3449128,-1.1603542166666665,0.4,bare
site_0004,769942.1945457421,1457717.967011131,Dec,20.65000000000001,-1.3367776,-1.4414467,-1.1603542166666665,0.4,bare
site_0005,770192.3408188784,1457717.967011131,Jan,21.800000000000004,0.0,0.13504352,-1.1603542166666665,0.4,bare
site_0005,770192.3408188784,1457717.967011131,Feb,24.5,0.0,-0.15066734,-1.1603542166666665,0.4,bare
site_0005,770192.3408188784,1457717.967011131,Mar,27.200000000000003,-0.798329,1.5723805,-1.1603542166666665,0.4,bare
site_0005,770192.3408188784,1457717.967011131,Apr,27.749999999999996,-1.5099118,0.0068858177,-1.1603542166666665,0.4,bare
site_0005,770192.3408188784,1457717.967011131,May,26.1,1.2681015,0.65633684,-1.1603542166666665,0.4,bare
site_0005,770192.3408188784,1457717.967011131,Jun,24.750000000000007,-1.2582394,1.6072845,-1.1603542166666665,0.4,bare
site_0005,770192.3408188784,1457717.967011131,Jul,23.550000000000004,-1.2083734,1.2072178,-1.1603542166666665,0.4,bare
site_0005,770192.3408188784,1457717.967011131,Aug,23.800000000000004,0.50808513,1.1489199,-1.1603542166666665,0.4,bare
site_0005,770192.3408188784,1457717.967011131,Sep,23.950000000000003,-1.5389507,0.17176704,-1.1603542166666665,0.4,bare
site_0005,770192.3408188784,1457717.967011131,Oct,23.950000000000003,1.1093975,-1.6183012,-1.1603542166666665,0.4,bare
site_0005,770192.3408188784,1457717.967011131,Nov,22.550000000000004,-0.860127,-1.3449128,-1.1603542166666665,0.4,bare
site_0005,770192.3408188784,1457717.967011131,Dec,20.65000000000001,-0.4795615,-1.4414467,-1.1603542166666665,0.4,bare
site_0006,770442.4870920145,1457717.967011131,Jan,21.800000000000004,0.0,0.13504352,-0.8979237383333333,0.4,bare
site_0006,770442.4870920145,1457717.967011131,Feb,24.5,0.0,-0.15066734,-0.8979237383333333,0.4,bare
site_0006,770442.4870920145,1457717.967011131,Mar,27.200000000000003,-0.798329,1.152888,-0.8979237383333333,0.4,bare
site_0006,770442.4870920145,1457717.967011131,Apr,27.749999999999996,-1.7386385,0.0068858177,-0.8979237383333333,0.4,bare
site_0006,770442.4870920145,1457717.967011131,May,26.1,1.4556291,0.65633684,-0.8979237383333333,0.4,bare
site_0006,770442.4870920145,1457717.967011131,Jun,24.750000000000007,-1.2582394,1.6072845,-0.8979237383333333,0.4,bare
site_0006,770442.4870920145,1457717.967011131,Jul,23.550000000000004,-1.2083734,1.2072178,-0.8979237383333333,0.4,bare
site_0006,770442.4870920145,1457717.967011131,Aug,23.800000000000004,0.18943305,1.1489199,-0.8979237383333333,0.4,bare
site_0006,770442.4870920145,1457717.967011131,Sep,23.950000000000003,-1.5389507,0.17176704,-0.8979237383333333,0.4,bare
site_0006,770442.4870920145,1457717.967011131,Oct,23.950000000000003,0.33553985,-1.6183012,-0.8979237383333333,0.4,bare
site_0006,770442.4870920145,1457717.967011131,Nov,22.550000000000004,-0.5076956,-1.3449128,-0.8979237383333333,0.4,bare
site_0006,770442.4870920145,1457717.967011131,Dec,20.65000000000001,-0.4795615,-1.4414467,-0.8979237383333333,0.4,bare
